document_id,adaptation_type,measure_description,risk_addressed,location_or_scope,implementation_status,implementation_timeline,investment_amount,effectiveness,initiative_name,technology_area,partners,metric_name,baseline_value,current_value,target_value,target_year,source_page,found,source_text
diageo_2023_report_a28c,risk_linked,Reducing water use in operations with a 40% improvement in water use efficiency in water-stressed areas.,Water crisis,Global,Ongoing,By 2030,,,,,,,,,,,8,True,
diageo_2023_report_a28c,risk_linked,Replenishing more water than used for operations in water-stressed areas.,Water crisis,Water-stressed areas,Planned,By 2026,,,,,,,,,,,8,True,
diageo_2023_report_a28c,implemented,Investment in Ireland’s first purpose-built carbon-neutral brewery powered with 100% renewable energy.,Carbon emissions,Kildare; Ireland,Ongoing,2022,,,,,,,,,,,10,True,
diageo_2023_report_a28c,implemented,Reduction of packaging weight by 4.4% and removal of 141 million cartons.,Packaging waste and carbon emissions,Global,Completed,2023,,,,,,,,,,,6,True,
diageo_2023_report_a28c,supply_chain_program,Working with farmers to define regenerative farming practices tailored to local needs.,,Ireland,,,,,Regenerative agriculture pilot,,,,,,,,7,True,
diageo_2023_report_a28c,nature_based,Implementing practices to improve soil health; enhance biodiversity; and improve water quality.,,Ireland,,,,Reduction of greenhouse gas emissions and improved resilience,Regenerative farming practices,,,,,,,,7,True,
diageo_2023_report_a28c,innovation,,Greenhouse gas emissions,,Ongoing,,,,Collaboration with agronomists,Regenerative agriculture practices,Irish farmers|Technical partners,,,,,,7,True,
diageo_2023_report_a28c,kpi,,,,,,,,,,,Water use efficiency improvement,Current efficiency,40% improvement in water-stressed areas,40%,2030,8,True,
diageo_2023_report_a28c,kpi,,,,,,,,,,,Carbon emissions reduction,Current emissions,15;000 metric tons avoided annually,Net zero by 2030,2030,10,True,
heineken_n_v_2024_report_6acd,risk_linked,Set targets for carbon emissions reduction in scope 1&2,Carbon emissions reduction,Global,Planned,2024-2026,Not disclosed,Target to achieve ≥50.0% reduction,,,,,,,,,10,True,
heineken_n_v_2024_report_6acd,risk_linked,Set targets for water efficiency improvement,Water efficiency improvement,Global,Planned,2024-2026,Not disclosed,Target to achieve ≥18.0% improvement,,,,,,,,,10,True,
heineken_n_v_2024_report_6acd,risk_linked,Set targets for women at senior manager level,Gender diversity at senior management level,Global,Planned,2024-2026,Not disclosed,Target to achieve ≥34.0% representation,,,,,,,,,10,True,
heineken_n_v_2024_report_6acd,implemented,Targets for carbon emissions reduction,Climate change,Global,Planned,2024-2026,,,,,,,,,,,10,True,
heineken_n_v_2024_report_6acd,implemented,Targets for water efficiency improvement,Water scarcity,Global,Planned,2024-2026,,,,,,,,,,,10,True,
heineken_n_v_2024_report_6acd,implemented,Targets for increasing women at senior manager level,Diversity and inclusion,Global,Planned,2024-2026,,,,,,,,,,,10,True,
heineken_n_v_2024_report_6acd,supply_chain_program,Assess climate risks faced by suppliers and provide support,,Global,,,,,Supplier climate risk assessment,,,,,,,,10,True,
heineken_n_v_2024_report_6acd,nature_based,Protect water sources to ensure sustainable water supply,,Global,,,,Improved water availability and quality,Watershed protection programs,,,,,,,,10,True,
heineken_n_v_2024_report_6acd,innovation,,Climate change impact on crops,,Ongoing,,,,Climate-resilient crop varieties,Agricultural research,Research institutions|Agricultural universities,,,,,,10,True,
heineken_n_v_2024_report_6acd,kpi,,,,,,,,,,,Carbon emissions reduction target,0%,Not disclosed,≥50%,2026,10,True,
heineken_n_v_2024_report_6acd,kpi,,,,,,,,,,,Water efficiency improvement target,0%,Not disclosed,≥18%,2026,10,True,
heineken_n_v_2024_report_6acd,kpi,,,,,,,,,,,Women at senior manager level target,27%,30.4%,≥34%,2026,10,True,
nestl_2024_report_2ce8,risk_linked,in-depth identification of natural hazard exposure,floods and windstorms,various sites,ongoing,2023,not specified,proactively anticipate potential risks,,,,,,,,,57,True,
nestl_2024_report_2ce8,risk_linked,enhancing operational resilience and modifying business practices,transition risks,global operations,ongoing,2023,not specified,align with global climate goals,,,,,,,,,57,True,
nestl_2024_report_2ce8,implemented,scenario-based modeling for climate-related impact risks,climate-related risks,global operations,completed,2023,,,,,,,,,,,57,True,
nestl_2024_report_2ce8,implemented,top-down climate assessments incorporated into strategic portfolio reviews,climate-related risks,Strategic Business Units and Globally Managed Businesses,ongoing,2023,,,,,,,,,,,37,True,
nestl_2024_report_2ce8,supply_chain_program,assessing climate-related risks and developing mitigation strategies,,global,,,,,supplier climate risk assessment programs,,,,,,,,38,True,
nestl_2024_report_2ce8,nature_based,implementing less resource-intense and more resilient food production methods,,global,,,,reduce resource intensity and enhance resilience,nature-based solutions for food production,,,,,,,,285,True,
nestl_2024_report_2ce8,innovation,,yield variability due to climate change,,ongoing,,,,climate-resilient crop varieties,breeding and genetics programs,research institutions,,,,,,42,True,
nestl_2024_report_2ce8,kpi,,,,,,,,,,,percentage of suppliers assessed for climate risk,not specified,not specified,not specified,not specified,37,True,
pernod_ricard_2023_report_6256,risk_linked,Regenerative viticulture practices to improve soil health and resilience,Impact of climate change on vineyards (earlier harvest dates; heat waves; hydric stress; increased disease pressure),Champagne and Cognac AOCs,Ongoing,Since 2016,Not specified,Expected to improve grape quality and yields,,,,,,,,,8,True,
pernod_ricard_2023_report_6256,risk_linked,Vitiforestry project to study the influence of tree ecosystems on vines,Impact of climate change on vineyards (earlier harvest dates; heat waves; hydric stress; increased disease pressure),Domaines Jean Martell,Ongoing,Started in 2023,Not specified,Long-term benefits expected in a changing climate,,,,,,,,,8,True,
pernod_ricard_2023_report_6256,implemented,Deployment of regenerative viticulture experiments,Soil health and resilience to climate change,Champagne and Cognac AOCs,Ongoing,2020,,,,,,,,,,,11,True,
pernod_ricard_2023_report_6256,implemented,Installation of beehives and planting of hedges,Biodiversity loss and ecosystem degradation,Champagne and Cognac AOCs,Completed,2016,,,,,,,,,,,20,True,
pernod_ricard_2023_report_6256,supply_chain_program,Groups of winegrower partners testing regenerative viticulture practices,,Champagne and Cognac AOCs,,,,,Mon Terroir Vivant,,,,,,,,9,True,
pernod_ricard_2023_report_6256,nature_based,Focus on improving soil health and biodiversity through regenerative practices,,Champagne and Cognac AOCs,,,,Enhances resilience to climate change impacts,Regenerative viticulture program,,,,,,,,12,True,
pernod_ricard_2023_report_6256,innovation,,Climate change impacts on grape quality,,Ongoing,,,,Varietal research program,Development of disease-resistant grape varieties,INRAE|Conservatoire du Vignoble Charentais|IFV|BNIC,,,,,,10,True,
pernod_ricard_2023_report_6256,kpi,,,,,,,,,,,Percentage of vineyards under regenerative practices,0%,100%,100%,2030,20,True,
